1|Your Cabin|This is your cabin.  Your cabinmate still isn't here|You awaken to sound of explosions and the rocking of the ship.  You shoot up out of bed and notice that your cabinmate is not in their bed.  There is a door leading out into the hall|1|0|0|0|0|0|0|1,,,
2|Hallway A|This is the hall outside of your cabin|You enter the hall outside of your cabin.  There are shiphands running to various locations.  Everyone seems too focused to talk.  The hallway goes left (Northward) or right (Southward)|2|0|0|0|0|0|0|1,,,
3|Hallway B|This hallway leads to the infirmary or your cabin.  There is a cabin on this corner|The hallway comes to a corner and heads Eastward to the infirmary or Southward toward your cabin.  There is a cabin on the corner Westward|3|0|0|0|0|0|0|1,,,
4|Hallway E|This hallway leads to the mess hall or your cabin.  There is a cabin and the showers on this corner|The hallway comes to a corner and leads Eastward to the Mess Hall or Northward to your cabin.  There is a a cabin on the corner to the West.  The showers are are also here Southward|4|0|0|0|0|0|0|1,,,
5|North Cabin|This is the cabin of DeRock and Zandr|This is the cabin of DeRock and Zandr.  They must be on the bridge |5|0|0|0|0|0|0|1,,,
6|Hallway C|The hallway outside the infirmary and mechanical room.  The hallway leads to the cabins or Mess Hall|The hallway comes to a head outside the Infirmary to the North and the Mechanical Room to the South.  The hall continues South to the Mess Hall or West to the cabins|6|0|0|0|0|0|0|1,,,
"7|Infirmary|The ship's infirmary|The ship's infirmary. There are no wounded, but there are plenty of medical supplies|7|0|0|0|0|0|0|1",,,
8|Mechanical Room|The ship's Mechanical Room|The ship's Mechanical Room.  There are various tools on the walls and shelves.  The ship's electrical systems are here as well|8|0|0|0|0|0|0|1,,,
"9|Hallway D|This is the hallway outside of the Mess Hall.  The hallway leads to the Infirmary, the cabins, or Navigation/Armory|The hallway comes to an intersection.  To the North are the Infirmary and Mechanical Room.  To the South are the ship's cabins.  To the West is the Mess Hall.  To the East is the Navigation and Armory|9|0|0|0|0|0|0|1",,,
"10|Mess Hall|The ship's Mess Hall|The ship's Mess Hall.  It is empty of people, but plenty of food|10|0|0|0|0|0|0|1",,,
11|South Cabin|This is the Cabin of Clarx and Larris|This is the cabin of Clarx and Larris.  They must be at Navigation|11|0|0|0|0|0|0|1,,,
12|Showers|The ship's showers.  There's no one in here perv|The ship's showers.  There's no one in here perv|12|0|0|0|0|0|0|1,,,
13|Hallway F|The hallway outside of the Armory and Navigation.  The hallway leads to the Mess Hall or Bridge/Drop Pods|The hallway comes to another intersection.  To the West is the hallway to the Mess Hall.  To the North is Navigation.  To the South is the Armory.  To the East are the Bridge and Drop Pods|13|0|0|0|0|0|0|1,,,
14|Navigation|The ship's Navigation|The ship's Navigation Room.  Clarx and Larris are focusing on their consoles|14|0|0|0|0|0|0|1,,,
15|Armory|The ship's Armory|The ship's Armory.  There are plenty of weapons in here|15|0|0|0|0|0|0|1,,,
16|Hallway G|The hallway outside of the Bridge.  The hallway leads to the Drop Pods or Navigation/Armory|The hallway comes to a T-Intersection.  To the North is the ship's Bridge.  To the West are Navigation and the Armory.  To the South are the Drop Pods|16|0|0|0|0|0|0|1,,,
"17|Bridge|The ship's Bridge|You enter the ship's Bridge.   DeRock and Zandr are at their posts, but the captain is not here.  There is a terminal that is displaying the security code to the escape pods as 2603|17|0|0|0|0|0|0|1",,,
18|Hallway H|The hallway outside the Drop Pods.  The hallway also leads back toward the bridge|The hallway continues on toward the Drop Pods|18|0|0|0|0|0|0|1,,,
19|Drop Pods|The ship's Drop Pods. Is it time to escape?|The ship's Drop Pods. It needs a security code to activate|19|0|0|0|0|0|0|1,,,
20|Drop Pods|The ship's Drop Pods. Is it time to escape?|The ship's Drop Pods. Is it time to escape?|20|0|0|0|0|0|0|1,,,
"201|Crash Site|This is the crash site|The landing was rough, and that's putting it nicely.  You find yourself in the middle of a strange forest.  There is a clearing to the North which you can see because the Drop Pod took out the trees on the way in|201|0|0|0|0|0|0|2",,,
202|Valley Clearing|||202|0|0|0|0|0|0|2,Valley Clearing,"The clearing opens to reveal a valley, cut by a large stream. There is a path leading Westward to the mountains, Northward to a path along the stream, and an Eastward path into the forest","This is the valley clearing by the drop pod landing site. There is a path leading Westward to the mountains, Northward to a path along the stream, and an Eastward path into the forest"
203|Mountain Path 1|||203|0|0|0|0|0|0|2,,The path leads up the mountain to the West and back down to the valley in the East,The path leads up the mountain to the West and back down to the valley in the East
204|Mountain Path 2|||204|0|0|0|0|0|0|2,,"The mountain path winds itself further up the mountain to the North, and back down to the valley to the East","The mountain path winds itself further up the mountain to the North, and back down to the valley to the East"
205|Mountain Path 3|||205|0|0|0|0|0|0|2,,The mountain path continues from North to South.  You notice that there is a wildlife path heading in the Westward direction,The mountain path continues from North to South.  There is also a wildlife path heading in the West
206|Rocky Path|||206|0|0|0|0|0|0|2,,The path becomes much more difficult to traverse due to the rocks.  You can see a cave up in the distance  to which the path seems to leads,There is a cave at the end of this rocky path
207|Cave|||207|0|0|0|0|0|0|2,,"You enter a dark cave. Clearly a creature of some sort has been living here, but is not here now",The creature cave
208|Mountain Path 4|||208|0|0|0|0|0|0|2,,The mountain path continues Eastward and begins decending.  There is an overlook to the North and the path winds down to the rocky path to the South,The mountain path runs South to East with an overlook to the North
209|Mountain Overlook|||209|0|0|0|0|0|0|2,,"The path opens up to a beautiful mountain vista.  There is a town nestled in the valley to the North.  You admire the view.  This planet is strange, but also familiar",A serene town can be seen from this breathtaking mountain view
210||||210|0|0|0|0|0|0|2,,The mountain path decends Eastward and rises Westward,The mountain path decends Eastward and rises Westward
211||||211|0|0|0|0|0|0|2,,,
212||||212|0|0|0|0|0|0|2,,,
213||||213|0|0|0|0|0|0|2,,,
214||||214|0|0|0|0|0|0|2,,,
215||||215|0|0|0|0|0|0|2,,,
216||||216|0|0|0|0|0|0|2,,,
217||||217|0|0|0|0|0|0|2,,,
218||||218|0|0|0|0|0|0|2,,,
219||||219|0|0|0|0|0|0|2,,,
220||||220|0|0|0|0|0|0|2,,,
221||||221|0|0|0|0|0|0|2,,,
222||||222|0|0|0|0|0|0|2,,,
223||||223|0|0|0|0|0|0|2,,,
224||||224|0|0|0|0|0|0|2,Sewer Entrance,Clearly they were expecting someone to arrive by the road.  The only way into the city to avoid being seen is through the sewers. Enter?,The entrance to the sewers. Enter?
225||||225|0|0|0|0|0|0|2,Boss Area,"As you enter the sewers, an ROUS (Rodent of Unusual Size) appears",
