-2|Dump|THIS PLACE IS A DUMP|THIS PLACE IS A DUMP|0|false|1|null
1|Your Cabin|This is your cabin.  Your cabinmate still isn't here|You awaken to sound of explosions and the rocking of the ship.  You shoot up out of bed and notice that your cabinmate is not in their bed.  There is a door leading out into the hall|1|false|1|null
2|Hallway A|This is the hall outside of your cabin|You enter the hall outside of your cabin.  There are shiphands running to various locations.  Everyone seems too focused to talk.  The hallway goes left (Northward) or right (Southward)|1|false|1|null
3|Hallway B|This hallway leads to the infirmary or your cabin.  There is a cabin on this corner|The hallway comes to a corner and heads Eastward to the infirmary or Southward toward your cabin.  There is a cabin on the corner Westward|1|false|1|null
4|Hallway E|This hallway leads to the mess hall or your cabin.  There is a cabin and the showers on this corner|The hallway comes to a corner and leads Eastward to the Mess Hall or Northward to your cabin.  There is a a cabin on the corner to the West.  The showers are are also here Southward|1|false|1|null
5|North Cabin|This is the cabin of DeRock and Zandr|This is the cabin of DeRock and Zandr.  They must be on the bridge |1|false|1|null
6|Hallway C|The hallway outside the infirmary and mechanical room.  The hallway leads to the cabins or Mess Hall|The hallway comes to a head outside the Infirmary to the North and the Mechanical Room to the South.  The hall continues South to the Mess Hall or West to the cabins|1|false|1|null
7|Infirmary|The ship's infirmary|The ship's infirmary. There are no wounded, but there are plenty of medical supplies|1|false|1|null
8|Mechanical Room|The ship's Mechanical Room|The ship's Mechanical Room.  There are various tools on the walls and shelves.  The ship's electrical systems are here as well|1|false|1|null
9|Hallway D|This is the hallway outside of the Mess Hall.  The hallway leads to the Infirmary, the cabins, or Navigation/Armory|The hallway comes to an intersection.  To the North are the Infirmary and Mechanical Room.  To the South are the ship's cabins.  To the West is the Mess Hall.  To the East is the Navigation and Armory|1|false|1|null
10|Mess Hall|The ship's Mess Hall|The ship's Mess Hall.  It is empty of people, but plenty of food|1|false|1|null
11|South Cabin|This is the Cabin of Clarx and Larris|This is the cabin of Clarx and Larris.  They must be at Navigation|1|false|1|null
12|Showers|The ship's showers.  There's no one in here perv|The ship's showers.  There's no one in here perv|1|false|1|null
13|Hallway F|The hallway outside of the Armory and Navigation.  The hallway leads to the Mess Hall or Bridge/Drop Pods|The hallway comes to another intersection.  To the West is the hallway to the Mess Hall.  To the North is Navigation.  To the South is the Armory.  To the East are the Bridge and Drop Pods|1|false|1|null
14|Navigation|The ship's Navigation|The ship's Navigation Room.  Clarx and Larris are focusing on their consoles|1|false|1|null
15|Armory|The ship's Armory|The ship's Armory.  There are plenty of weapons in here|1|false|1|null
16|Hallway G|The hallway outside of the Bridge.  The hallway leads to the Drop Pods or Navigation/Armory|The hallway comes to a T-Intersection.  To the North is the ship's Bridge.  To the West are Navigation and the Armory.  To the South are the Drop Pods|1|false|1|null
17|Bridge|The ship's Bridge. There is a computer terminal illuminating the grisly scene|You enter the ship's Bridge.   DeRock and Zandr are lying slaughtered on the floor.  You see an alien figure snap the neck of the Captain and solemnly lay him on the ground. He closes his eyes, whispers something, and looks to you. There is a computer terminal illuminating the grisly scene|1|false|1|null
18|Hallway H|The hallway outside the Drop Pods.  The hallway also leads back toward the bridge|The hallway continues on toward the Drop Pods|1|false|1|null
19|Drop Pods|The ship's Drop Pods. There is a keypad that is requesting a security code to activate|The ship's Drop Pods. There is a keypad that is requesting a security code to activate|1|false|1|null
20|Drop Pods|The ship's Drop Pods have been activated. Is it time to escape?|The ship's Drop Pods have been activated. Is it time to escape?|1|false|1|null
201|Crash Site|This is the crash site|The landing was rough, and that's putting it nicely.  You find yourself in the middle of a strange forest.  There is a clearing to the North which you can see because the Drop Pod took out the trees on the way in|2|false|1|null
202|Valley Clearing|This is the valley clearing by the drop pod landing site. There is a path leading Westward to the mountains, Northward to a path along the stream, and an Eastward path into the forest|The clearing opens to reveal a valley, cut by a large stream. There is a path leading Westward to the mountains, Northward to a path along the stream, and an Eastward path into the forest|2|false|1|null
